,caseid_new,partner_political,resondent_political,income_gap_raw,same_political,income_gap,respondent_earn_more
410,654431,democrat,democrat,i earned more,1,1.0,1.0
411,655505,democrat,other,i earned more,0,1.0,1.0
412,656225,independent,democrat,partner earned more,0,1.0,0.0
413,657761,independent,republican,partner earned more,0,1.0,0.0
414,658356,democrat,democrat,we earned about the same amount,1,0.0,
415,660391,democrat,democrat,partner earned more,1,1.0,0.0
416,661466,democrat,democrat,partner earned more,1,1.0,0.0
417,663872,republican,republican,partner earned more,1,1.0,0.0
418,664501,democrat,democrat,partner earned more,1,1.0,0.0
419,665256,independent,democrat,partner earned more,0,1.0,0.0
420,666686,democrat,democrat,partner earned more,1,1.0,0.0
421,667321,democrat,democrat,i earned more,1,1.0,1.0
422,668501,independent,democrat,refused,0,,
423,669511,democrat,republican,we earned about the same amount,0,0.0,
424,670721,republican,republican,i earned more,1,1.0,1.0
425,671481,republican,republican,partner earned more,1,1.0,0.0
426,672681,democrat,democrat,we earned about the same amount,1,0.0,
427,673371,democrat,democrat,partner earned more,1,1.0,0.0
428,675671,republican,republican,i earned more,1,1.0,1.0
429,677226,democrat,republican,i earned more,0,1.0,1.0
430,680225,democrat,democrat,i earned more,1,1.0,1.0
431,686266,republican,republican,we earned about the same amount,1,0.0,
432,689556,democrat,democrat,partner earned more,1,1.0,0.0
433,690195,republican,republican,partner earned more,1,1.0,0.0
434,692321,republican,republican,we earned about the same amount,1,0.0,
435,693365,no preference,democrat,partner earned more,0,1.0,0.0
436,696413,republican,republican,i earned more,1,1.0,1.0
437,697396,no preference,republican,i earned more,0,1.0,1.0
438,698271,no preference,democrat,i earned more,0,1.0,1.0
439,700396,democrat,democrat,i earned more,1,1.0,1.0
440,701496,democrat,democrat,partner earned more,1,1.0,0.0
441,703215,no preference,other,partner earned more,0,1.0,0.0
442,704331,democrat,democrat,i earned more,1,1.0,1.0
443,706306,democrat,democrat,partner earned more,1,1.0,0.0
444,709205,democrat,republican,partner earned more,0,1.0,0.0
445,711676,democrat,democrat,we earned about the same amount,1,0.0,
446,712403,democrat,democrat,i earned more,1,1.0,1.0
447,714533,republican,republican,partner earned more,1,1.0,0.0
448,715631,republican,republican,partner earned more,1,1.0,0.0
