,caseid_new,children_in_hh,age_difference,race_gap,religious_gap,edu_gap,met_online,met_at_work,met_at_school,met_at_church,met_travel,met_social,met_party,met_f_and_f,met_as_neighbors,met_public_space,met_offline_dating,met_other,how_met_count,relationship_len,partner_deceased,married_w1_married,married_w1_not married,age_gap_bin_0 to 3,age_gap_bin_11 to 20,age_gap_bin_4 to 5,age_gap_bin_6 to 10,age_gap_bin_>=20,same_sex_couple_different sex couple,same_sex_couple_same-sex couple,edu_gap_bin_0 to 2,edu_gap_bin_3 to 4,edu_gap_bin_5 to 6,edu_gap_bin_>6,parental_approval_approve,parental_approval_dont_approve,relationship_quality_w1_excellent,relationship_quality_w1_fair,relationship_quality_w1_good,relationship_quality_w1_poor,relationship_quality_w1_very poor,age_when_met,family_size,region,metro,region_midwest,region_northeast,region_south,region_west,partner_political,resondent_political,income_gap_raw,same_political,income_gap,respondent_earn_more,relationship_quality_w1,relationship_len_cat
64,120456,0,13.0,1,1,5.0,0,0,0,0,1,0,0,1,0,0,0,0,2,26.0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,24.0,2.0,1,1,0,0,0,1,no preference,democrat,partner earned more,0,1.0,0.0,excellent,third_quartile
65,121515,0,2.0,0,1,4.0,0,1,0,0,0,0,0,0,0,0,0,0,1,9.0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,33.0,0.0,3,1,0,1,0,0,democrat,republican,partner earned more,0,1.0,0.0,good,bottom_quartile
66,122441,0,3.0,0,1,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,29.0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,18.0,10.0,2,0,1,0,0,0,democrat,democrat,partner earned more,1,1.0,0.0,excellent,third_quartile
67,125346,0,0.0,0,0,4.0,0,0,0,0,0,1,0,0,0,1,0,0,2,6.0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,28.0,1.0,1,1,0,0,0,1,no preference,republican,we earned about the same amount,0,0.0,,fair,bottom_quartile
68,126231,0,11.0,1,0,2.0,0,0,1,0,0,0,0,1,0,0,0,0,2,11.0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,16.0,10.0,2,1,1,0,0,0,democrat,democrat,partner earned more,1,1.0,0.0,excellent,second_quartile
69,128441,0,1.0,0,1,4.0,1,0,0,0,0,0,0,0,0,1,0,0,2,6.5,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,41.0,0.0,1,1,0,0,0,1,republican,democrat,partner earned more,0,1.0,0.0,excellent,bottom_quartile
70,130266,0,6.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,7.5,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,25.0,5.0,0,1,0,0,1,0,no preference,republican,partner earned more,0,1.0,0.0,excellent,bottom_quartile
71,131561,0,4.0,0,1,0.0,0,1,0,0,0,0,0,1,0,1,0,0,3,43.0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,17.0,4.0,0,1,0,0,1,0,republican,republican,partner earned more,1,1.0,0.0,excellent,top_quartile
72,133521,1,2.0,0,0,4.0,0,0,0,0,0,0,0,0,0,1,0,0,1,41.0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,16.0,1.0,0,1,0,0,1,0,democrat,republican,partner earned more,0,1.0,0.0,excellent,top_quartile
73,134275,0,3.0,0,1,0.0,1,0,0,0,0,1,0,0,0,1,0,0,3,7.5,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,25.0,5.0,0,1,0,0,1,0,democrat,republican,i earned more,0,1.0,1.0,excellent,bottom_quartile
74,134461,0,4.0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,5.75,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,46.0,2.0,2,1,1,0,0,0,no preference,republican,i earned more,0,1.0,1.0,excellent,bottom_quartile
75,135736,0,7.0,0,1,7.0,0,0,0,0,0,0,0,0,0,1,0,0,1,23.0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,55.0,0.0,0,1,0,0,1,0,democrat,democrat,partner earned more,1,1.0,0.0,excellent,third_quartile
76,136275,0,1.0,1,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,6.5,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,26.0,0.0,0,1,0,0,1,0,no preference,democrat,i earned more,0,1.0,1.0,good,bottom_quartile
77,137215,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,7.5,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,21.0,4.0,1,1,0,0,0,1,democrat,republican,we earned about the same amount,0,0.0,,excellent,bottom_quartile
78,140511,3,0.0,0,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,36.0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,19.0,7.0,1,1,0,0,0,1,republican,republican,partner earned more,1,1.0,0.0,excellent,top_quartile
79,142561,0,4.0,1,1,1.0,0,0,1,0,0,0,0,0,0,0,0,0,1,44.0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,14.0,33.0,2,1,1,0,0,0,democrat,democrat,refused,1,,,excellent,top_quartile
80,143746,0,0.0,0,0,8.0,0,0,0,0,0,0,1,0,0,0,0,0,1,45.0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,31.0,5.0,2,1,1,0,0,0,independent,democrat,we earned about the same amount,0,0.0,,excellent,top_quartile
81,144545,0,21.0,1,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,19.0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,37.0,1.0,3,1,0,1,0,0,no preference,other,partner earned more,0,1.0,0.0,excellent,third_quartile
82,145611,1,3.0,0,1,0.0,0,0,1,0,0,0,0,1,0,0,0,0,2,46.0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,20.0,10.0,0,1,0,0,1,0,independent,republican,i earned more,0,1.0,1.0,excellent,top_quartile
83,147245,0,2.0,0,1,1.0,0,0,0,0,0,1,0,0,0,0,0,0,1,2.75,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,23.0,5.0,3,1,0,1,0,0,democrat,democrat,i earned more,1,1.0,1.0,fair,bottom_quartile
