caseid_new,relationship_len,partner_deceased,relationship_quality_w1
1708231,10,0,excellent
1709246,9,0,excellent
1711502,12,0,fair
1714741,59,0,excellent
1715481,38,0,good
1718291,11,0,excellent
1719406,9,0,excellent
1720621,48,0,excellent
1721381,15,0,good
1726685,50,0,excellent
1728311,20,0,excellent
1730361,25,0,good
1735441,19,0,good
1736721,21,0,excellent
1738463,0.05,0,excellent
1739511,31,0,excellent
1740291,11,0,excellent
1742351,21,0,good
1743521,31,0,good
1745446,19,0,fair
1747381,24,0,excellent
1748271,15,0,good
1749592,10,0,excellent
1750331,11,0,good
1751291,13,0,excellent
1752521,11,0,excellent
1753471,27,0,poor
1755306,13,0,excellent
1756633,40,1,excellent
1757781,31,0,excellent
1759791,60,0,excellent
1760353,2.15,0,excellent
1762615,11,0,good
1763881,69,1,excellent
1764471,13,0,excellent
1765521,33,0,excellent
1767591,44,0,excellent
1768436,13,1,excellent
1771195,7.5,0,excellent
1772413,9,0,excellent
1774541,40,0,excellent
1777513,11,0,good
1778236,10,0,good
1779551,19,0,excellent
1781261,9,0,fair
1784331,11,0,excellent
1785761,55,0,excellent
1786301,14,0,good
1787296,9,0,excellent
1788316,14,0,good
1790623,17,0,fair
1792311,18,0,good
1793381,25,0,excellent
1794351,22,0,excellent
1795381,20,0,excellent
1796621,,0,excellent
1797541,42,0,good
1798281,11,0,excellent
1799441,22,0,excellent
1800341,11,0,excellent
1802445,0.75,0,excellent
1803416,18,1,excellent
1804235,7.5,0,excellent
1805341,16,0,excellent
1807331,9,0,good
1808475,7,0,good
1809246,11,0,fair
1810601,43,1,good
1812681,54,0,excellent
1813483,18,0,good
1814401,16,0,excellent
1815601,48,0,good
1817446,24,0,good
1818371,21,0,excellent
1819566,11,0,excellent
1820763,41,0,good
1821371,21,0,excellent
1823706,11,0,excellent
1825361,14,0,poor
1828271,9,0,good
1830561,16,0,excellent
1831446,24,0,good
1833581,17,0,excellent
1834215,4.5,0,excellent
1835645,20,0,excellent
1836683,55,0,good
1837415,6,0,good
1839335,6.5,0,excellent
1840205,5.45,0,good
1841311,17,0,excellent
1842506,10,0,excellent
1843471,13,0,excellent
1845451,34,0,excellent
1846441,19,0,excellent
1848513,11,0,good
1850456,9,0,excellent
1852461,20,0,excellent
1853843,47,0,fair
1854541,21,0,good
1855236,10,0,good
1857346,10,0,excellent
1859701,58,0,excellent
1860271,13,0,excellent
1861603,25,0,excellent
1862281,10,0,excellent
1863321,10,0,excellent
1864311,14,0,excellent
1865296,2.15,0,good
1866571,32,0,good
1867521,31,0,excellent
1868455,20,0,fair
1869273,5.45,0,excellent
1870406,19,0,good
1871556,11,0,excellent
1875531,35,0,excellent
1879215,9,0,excellent
1882315,0.05,0,good
1883321,19,0,fair
1885371,21,0,good
1886461,13,0,fair
1888561,40,0,good
1890241,12,0,good
1891561,32,0,good
1892215,1.75,0,good
1894396,7.5,0,excellent
1897225,1.5,0,excellent
1898671,54,0,excellent
1900391,14,0,excellent
1901531,26,0,excellent
1902385,21,0,excellent
1904661,39,0,excellent
1905431,16,0,excellent
1906461,32,0,good
1907225,3.75,0,good
1908381,18,0,excellent
1910205,4.5,0,good
1912446,21,0,excellent
1914291,15,0,excellent
1915281,16,0,excellent
