,caseid_new,married_w1,children_in_hh,age_difference,age_gap_bin_0_to_3,age_gap_bin_4_to_5,age_gap_bin_6_to_10,age_gap_bin_11_to_20,age_gap_bin_>=20,race_gap,religious_gap,same_sex_couple,parental_approval,edu_gap,edu_gap_bin_0_to_2,edu_gap_bin_3_to_4,edu_gap_bin_5_to_6,edu_gap_bin_>6,met_online,met_at_work,met_at_school,met_at_church,met_travel,met_social,met_party,met_f_and_f,met_as_neighbors,met_public_space,met_offline_dating,met_other,how_met_count,relationship_len,partner_deceased,relationship_quality_w1_excellent,relationship_quality_w1_fair,relationship_quality_w1_good,relationship_quality_w1_poor,relationship_quality_w1_very poor
108,185405,0,0,15.0,0,0,0,1,0,0,1,0,0,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6.5,0,0,0,1,0,0
109,187511,1,0,2.0,1,0,0,0,0,0,0,0,1,2.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,16.0,0,1,0,0,0,0
110,189411,1,2,1.0,1,0,0,0,0,0,0,0,1,1.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,27.0,0,1,0,0,0,0
111,190215,0,0,1.0,1,0,0,0,0,0,1,0,1,0.0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,3,3.5,0,1,0,0,0,0
112,191546,1,0,0.0,1,0,0,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,38.0,0,0,0,1,0,0
113,192341,1,3,1.0,1,0,0,0,0,0,1,0,1,0.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,16.0,0,0,0,1,0,0
114,193446,0,0,6.0,0,0,1,0,0,0,1,0,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,11.0,0,0,1,0,0,0
115,194441,1,0,7.0,0,0,1,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,3,32.0,0,0,0,1,0,0
116,196851,1,0,2.0,1,0,0,0,0,0,1,0,0,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,76.0,0,1,0,0,0,0
117,197486,0,0,1.0,1,0,0,0,0,1,0,1,0,4.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,22.0,0,0,0,1,0,0
118,199261,1,0,1.0,1,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,3,10.0,0,1,0,0,0,0
119,202631,1,0,12.0,0,0,0,1,0,0,0,0,0,0.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,41.0,0,1,0,0,0,0
120,203562,0,0,2.0,1,0,0,0,0,0,1,1,0,2.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,2.5,0,0,1,0,0,0
121,204561,1,0,2.0,1,0,0,0,0,0,0,0,1,1.0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,3,44.0,0,0,0,1,0,0
122,205421,1,2,5.0,0,1,0,0,0,0,1,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,25.0,0,1,0,0,0,0
123,206541,1,0,0.0,1,0,0,0,0,0,0,0,1,2.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,40.0,0,1,0,0,0,0
124,209345,0,0,5.0,0,1,0,0,0,0,0,0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,13.0,0,0,1,0,0,0
125,211571,1,0,5.0,0,1,0,0,0,1,1,0,1,8.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,45.0,0,1,0,0,0,0
126,212505,0,3,3.0,1,0,0,0,0,1,1,0,0,2.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.75,0,0,0,1,0,0
127,214591,1,0,5.0,0,1,0,0,0,0,1,0,0,4.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,37.0,0,1,0,0,0,0
128,217365,0,2,5.0,0,1,0,0,0,1,1,0,0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2.5,0,0,1,0,0,0
129,218426,0,0,1.0,1,0,0,0,0,0,0,1,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.45,0,1,0,0,0,0
130,219265,0,0,1.0,1,0,0,0,0,0,0,0,1,1.0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,4,17.0,0,1,0,0,0,0
131,220411,1,0,5.0,0,1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,16.0,0,1,0,0,0,0
132,221225,0,3,2.0,1,0,0,0,0,1,1,0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2.75,0,1,0,0,0,0
133,222281,1,0,0.0,1,0,0,0,0,0,1,0,1,1.0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,4,10.0,0,1,0,0,0,0
134,224425,0,2,3.0,1,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,27.0,0,0,0,1,0,0
135,225411,1,2,2.0,1,0,0,0,0,0,1,0,1,2.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,28.0,0,0,0,1,0,0
