,caseid_new,relationship_len,partner_deceased,relationship_quality_w1,category
273,429306,13.0,0,excellent,second_quartile
274,431851,33.0,0,good,top_quartile
275,432411,24.0,0,good,third_quartile
276,433481,25.0,0,good,third_quartile
277,437831,41.0,0,excellent,top_quartile
278,439271,11.0,0,excellent,second_quartile
279,440811,66.0,0,excellent,top_quartile
280,441341,24.0,0,excellent,third_quartile
281,443301,7.5,0,good,bottom_quartile
282,444371,20.0,0,good,third_quartile
283,445591,47.0,0,excellent,top_quartile
284,448326,7.0,0,excellent,bottom_quartile
285,449566,22.0,0,excellent,third_quartile
286,450291,15.0,0,excellent,second_quartile
287,452446,20.0,0,good,third_quartile
288,453361,24.0,0,excellent,third_quartile
289,454456,12.0,0,excellent,second_quartile
290,455601,20.0,0,excellent,third_quartile
291,458621,36.0,0,good,top_quartile
292,461511,41.0,0,excellent,top_quartile
293,465386,9.0,0,good,bottom_quartile
294,466852,11.0,0,good,second_quartile
295,468225,0.75,0,good,bottom_quartile
296,469391,20.0,0,excellent,third_quartile
297,470261,13.0,0,good,second_quartile
298,471426,9.0,0,good,bottom_quartile
299,472431,9.0,0,excellent,bottom_quartile
300,475485,31.0,0,excellent,top_quartile
301,478561,42.0,0,fair,top_quartile
302,480501,40.0,0,good,top_quartile
303,481445,12.0,0,excellent,second_quartile
304,483591,41.0,0,excellent,top_quartile
305,484581,39.0,0,good,top_quartile
306,489621,49.0,0,excellent,top_quartile
307,490291,12.0,0,good,second_quartile
308,491772,2.5,0,excellent,bottom_quartile
309,494215,7.5,0,excellent,bottom_quartile
310,496215,5.05,0,excellent,bottom_quartile
311,497295,6.5,0,excellent,bottom_quartile
312,499271,9.0,0,excellent,bottom_quartile
313,501306,10.0,0,good,second_quartile
314,502721,60.0,0,excellent,top_quartile
315,505381,26.0,0,excellent,third_quartile
316,506515,1.5,0,good,bottom_quartile
317,507491,34.0,0,excellent,top_quartile
318,508361,20.0,0,excellent,third_quartile
319,509391,22.0,0,good,third_quartile
320,511386,9.0,0,good,bottom_quartile
321,512356,17.0,0,excellent,second_quartile
322,513831,63.0,0,excellent,top_quartile
323,515281,9.0,0,excellent,bottom_quartile
324,516446,27.0,0,excellent,third_quartile
325,518481,27.0,0,,third_quartile
326,520581,40.0,0,excellent,top_quartile
327,523401,20.0,0,very poor,third_quartile
328,524471,21.0,0,good,third_quartile
329,525291,7.0,0,excellent,bottom_quartile
330,526701,60.0,0,excellent,top_quartile
331,527611,41.0,0,excellent,top_quartile
332,531265,5.75,0,excellent,bottom_quartile
333,532341,13.0,0,excellent,second_quartile
334,533831,63.0,1,excellent,top_quartile
335,535331,22.0,0,good,third_quartile
336,536205,2.5,0,excellent,bottom_quartile
337,538571,24.0,0,good,third_quartile
338,540435,9.0,0,good,bottom_quartile
339,541261,10.0,0,excellent,second_quartile
340,542711,30.0,0,excellent,top_quartile
341,543641,17.0,0,excellent,second_quartile
342,545326,10.0,0,,second_quartile
